EID,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusyCycles (cycles),HSSALUBusyCycles (cycles),DSVerticesIn,DSVALUInstCount,DSSALUInstCount,DSVALUBusyCycles (cycles),DSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
269,3024.48,3023.52,1.06512E+10,1.06511E+10,3894598.00,0.00,3814.00,2.96189,0.00,0.00,0.00,0.00,0.00,0.00,3886432.00,3020.29278,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3370.00,2.00,0.00,0.00,0.00,1205424.00,1745.00,2412.00,24.00,1472702.91667,12600.66667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3882386.00,0.00,7.19575E+07,0.00,7.19495E+07,1.00,3668330.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,1072.00,0.00,0.00,256704.00,346944.00,1.92465E+07,1.93119E+07,302338.00,1327652.00,0.00,0.00,3.19629E+07,0.00,1.68427E+07,499447.00,3882386.00,0.00,0.00
303,1154.24,1157.44,1.06512E+10,1.06511E+10,1488893.00,0.00,2651.00,2.05514,0.00,0.00,0.00,0.00,0.00,0.00,1483694.00,1149.98557,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2795.00,2.00,0.00,0.00,0.00,1205424.00,9633.00,84.24512,31.26957,48828.66667,16413.91667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1481940.00,0.00,8343320.00,0.00,8335682.00,1.00,1439435.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,5377.00,0.00,0.00,344160.00,434400.00,1.92495E+07,1.93150E+07,302338.00,148100.00,0.00,0.00,1.77882E+08,0.00,3004834.00,2780348.00,1481940.00,0.00,0.00
248,704.96,861.92,1.06512E+10,1.06511E+10,907804.00,0.00,7715.00,5.99112,0.00,0.00,0.00,0.00,0.00,0.00,895789.00,695.64578,0.00,0.00,6.00,110.00,11.00,3.38889,0.30556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8081.00,2.00,0.00,2.00,0.00,6088192.00,471217.00,136.00,24.00,52206.86111,7980.66667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64011.00,0.00,2009772.00,0.00,2009748.00,1.00,23954.00,12565.00,0.00,0.00,12565.00,0.00,191528.00,1.00,191527.00,191527.00,0.00,0.00,0.00,761024.00,0.00,0.00,498692.00,119008.00,419072.00,1146368.00,1768960.00,9.03323E+07,9.19238E+07,1532216.00,5832.00,0.00,0.00,1.38606E+07,0.00,222791.00,216579.00,64011.00,0.00,0.00
276,506.72,514.40,1.06512E+10,1.06511E+10,654621.00,0.00,2677.00,2.07218,0.00,0.00,0.00,0.00,0.00,0.00,652904.00,501.55773,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2764.00,2.00,0.00,0.00,0.00,2410848.00,2523.00,47.00,37.00,27820.58333,19421.91667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,647249.00,0.00,1.79409E+07,0.00,1.79355E+07,1.00,607995.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,2425.00,0.00,0.00,693824.00,874560.00,3.85646E+07,3.87191E+07,604676.00,736.00,0.00,0.00,1.98030E+07,0.00,402314.00,309419.00,647249.00,0.00,0.00
321,213.44,218.08,1.06512E+10,1.06511E+10,279918.00,0.00,2671.00,2.03666,0.00,0.00,0.00,0.00,0.00,0.00,273248.00,207.39901,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3092.00,2.00,0.00,0.00,0.00,1205424.00,183233.00,26.00,12.00,27820.58333,6299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77364.00,0.00,1055153.00,0.00,1055025.00,1.00,259910.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,195451.00,0.00,0.00,49920.00,140160.00,1.92495E+07,1.93150E+07,302338.00,0.00,0.00,0.00,1.94244E+07,0.00,269.00,303502.00,77364.00,0.00,0.00
229,159.04,159.52,1.06512E+10,1.06511E+10,199840.00,0.00,4219.00,3.35763,0.00,0.00,0.00,0.00,0.00,0.00,192430.00,151.8428,0.00,0.00,9.00,11.00,4.00,0.30556,0.11111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4999.00,12.00,6.00,4.00,0.00,1205424.00,109712.00,13.00,9.00,8393.33333,4721.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61158.00,0.00,1055037.00,0.00,1054885.00,1.00,182938.00,19170.00,0.00,0.00,19170.00,0.00,302130.00,1.00,302129.00,302129.00,11888.00,0.00,0.00,0.00,0.00,0.00,114040.00,0.00,0.00,36288.00,126016.00,1.92510E+07,1.93177E+07,302129.00,0.00,0.00,0.00,6569024.00,0.00,146469.00,102629.00,61158.00,0.00,0.00
364,100.64,178.40,1.06512E+10,1.06511E+10,141096.00,0.00,1844.00,1.31528,0.00,0.00,0.00,0.00,0.00,0.00,136362.00,98.25992,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1583.00,2.00,0.00,0.00,0.00,562836.00,583.00,18.00,11.00,4418.50,2700.19444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135717.00,0.00,492062.00,0.00,492098.00,1.00,118175.00,9214.00,0.00,0.00,9214.00,0.00,141363.00,0.00,141363.00,141363.00,20244.00,0.00,0.00,0.00,0.00,0.00,1147.00,0.00,0.00,68608.00,68608.00,1069856.00,1069856.00,0.00,9540.00,0.00,0.00,1.88023E+07,0.00,83522.00,293829.00,135717.00,0.00,0.00
30,80.64,81.28,1.06512E+10,1.06511E+10,104838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6170.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7221888.00,7278208.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,79.68,159.84,1.06512E+10,1.06511E+10,105266.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6350.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,79.68,81.12,1.06512E+10,1.06511E+10,104696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6202.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,79.68,81.44,1.06512E+10,1.06511E+10,104551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6360.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,79.52,238.88,1.06512E+10,1.06511E+10,105548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26057.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6252.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,79.36,81.76,1.06512E+10,1.06511E+10,103976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25462.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6524.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,79.04,81.44,1.06512E+10,1.06511E+10,103697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25955.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6006.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,79.04,81.60,1.06512E+10,1.06511E+10,104690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26776.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6138.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,79.04,80.96,1.06512E+10,1.06511E+10,103976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6004.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,78.72,317.76,1.06512E+10,1.06511E+10,103838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25823.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6342.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
